"Certifier Name","Operation Name","Physical Address: Street 1","Physical Address: Street 2","Physical Address: City","Physical Address: State/Province","Physical Address: ZIP/ Postal Code","Broker","Community Supported Agriculture (CSA)","Co-Packer","Dairy","Distributor","Marketer/Trader","Restaurant","Retail Food Establishment","Poultry","Private Labeler","Slaughterhouse","Storage","Grower Group","Data as of Date","Organic Certificate","addresses","lon","lat"
"Quality Assurance International","Sue Bee Honey","487 Executive Drive",NA,"Elizabethtown","North Carolina","28337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-28,NA,"487 Executive Drive, Elizabethtown, North Carolina, 28337",NA,NA
"Quality Assurance International","Perdue Foods, LLC","862 Harris Street North West",NA,"Concord","North Carolina","28205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-30,NA,"862 Harris Street North West, Concord, North Carolina, 28205",-80.6058048,35.4302366
"Quality Assurance International","Bay State Milling Co.","448 N. Main Street",NA,"Mooresville","North Carolina","28115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-08,NA,"448 N. Main Street, Mooresville, North Carolina, 28115",NA,NA
"Quality Assurance International","B&G Foods Snacks, Inc.","500 Chipita Way","P.O. Box 1489","Yadkinville","North Carolina","27055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-02,NA,"500 Chipita Way, Yadkinville, North Carolina, 27055",-80.647087,36.1420669
"International Certification Services, Inc","Organic Production Services, LLC","802 Julian R. Allsbrook Hwy",NA,"Weldon","North Carolina","27890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-05,NA,"802 Julian R. Allsbrook Hwy, Weldon, North Carolina, 27890",NA,NA
"Quality Assurance International","Lassonde Pappas And Company Inc.","125 Industrial Park Road",NA,"Hendersonville","North Carolina","28792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-20,NA,"125 Industrial Park Road, Hendersonville, North Carolina, 28792",NA,NA
"Quality Assurance International","Cott Beverages","4843 International Boulevard West",NA,"Wilson","North Carolina","27893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-08,NA,"4843 International Boulevard West, Wilson, North Carolina, 27893",-77.9965259,35.732525
"Baystate Organic Certifiers","Cottonman.com LLC","136 Mavaton Road",NA,"Edenton","North Carolina","27932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-14,NA,"136 Mavaton Road, Edenton, North Carolina, 27932",-76.6559564,36.1795339
"Pennsylvania Certified Organic","Hostetler Family Farm LLC","6400 Windsor Road",NA,"Hamptonville","North Carolina","27020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-12-29,NA,"6400 Windsor Road, Hamptonville, North Carolina, 27020",-80.8623189,36.0979531
"International Certification Services, Inc","Robertson Steven","1304 Falkenberry Road",NA,"King","North Carolina","27021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-11-28,NA,"1304 Falkenberry Road, King, North Carolina, 27021",NA,NA
"International Certification Services, Inc","Webster's Farms, Inc.","2133 Lindsey Bridge Rd",NA,"Madison","North Carolina","27025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-30,NA,"2133 Lindsey Bridge Rd, Madison, North Carolina, 27025",-80.0101486,36.3385579
"International Certification Services, Inc","Hartman, David","1420 Camp Caroldale Road",NA,"Walnut Cove","North Carolina","27052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-03,NA,"1420 Camp Caroldale Road, Walnut Cove, North Carolina, 27052",NA,NA
"Quality Assurance International","W.R. Vernon Produce Company, Inc.","1035 N Cherry Street",NA,"Winston-Salem","North Carolina","27101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-18,NA,"1035 N Cherry Street, Winston-Salem, North Carolina, 27101",NA,NA
"Quality Assurance International","Golding Farms Foods, Inc.","6061 Gun Club Rd.",NA,"Winston-Salem","North Carolina","27103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-20,NA,"6061 Gun Club Rd., Winston-Salem, North Carolina, 27103",NA,NA
"Pennsylvania Certified Organic","Grantville Farms","3121 Grantville Lane",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"3121 Grantville Lane, Asheboro, North Carolina, 27205",NA,NA
"International Certification Services, Inc","Hulin, John D Jr dba Three Girls Farm","3208 Bethel Friends Rd.",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"3208 Bethel Friends Rd., Asheboro, North Carolina, 27205",NA,NA
"Pennsylvania Certified Organic","L&B Farms","4297 Old Cox Rd",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"4297 Old Cox Rd, Asheboro, North Carolina, 27205",NA,NA
"International Certification Services, Inc","Lucas Farm","2760 Cox Mill Rd",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"2760 Cox Mill Rd, Asheboro, North Carolina, 27205",-79.853189,35.522495
"Pennsylvania Certified Organic","Lucas Farm","2760 Cox Mill Rd",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2760 Cox Mill Rd, Asheboro, North Carolina, 27205",-79.853189,35.522495
"International Certification Services, Inc","Madren, Leslie and Bryant dba L & B Farms","4297 Old Cox Rd",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"4297 Old Cox Rd, Asheboro, North Carolina, 27205",-79.7474391,35.6068691
"Pennsylvania Certified Organic","Michael Yow","4922 Zoo Pkwy",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"4922 Zoo Pkwy, Asheboro, North Carolina, 27205",-79.7908828,35.6245627
"Pennsylvania Certified Organic","Saunders Farm","778 Saunders Trail",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"778 Saunders Trail, Asheboro, North Carolina, 27205",-79.9081508,35.6964926
"International Certification Services, Inc","Shelton, Jack and Kylie dba Grantville Farms","3121 Grantville Lane",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"3121 Grantville Lane, Asheboro, North Carolina, 27205",-79.7114943,35.6618046
"Pennsylvania Certified Organic","Three Girls Farm","3208 Bethel Friends Rd",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"3208 Bethel Friends Rd, Asheboro, North Carolina, 27205",NA,NA
"International Certification Services, Inc","Wayne Saunders dba Saunders Farm","778 Saunders Trail",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"778 Saunders Trail, Asheboro, North Carolina, 27205",NA,NA
"International Certification Services, Inc","Yow, Micheal","5922 Zoo Parkway",NA,"Asheboro","North Carolina","27205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"5922 Zoo Parkway, Asheboro, North Carolina, 27205",NA,NA
"International Certification Services, Inc","David Johnson dba Rocky Acres","4081 McLaurin Rd.",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"4081 McLaurin Rd., Bear Creek, North Carolina, 27207",-79.379219,35.65385
"International Certification Services, Inc","Emerson, Garry","699 Lee Emerson Road",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"699 Lee Emerson Road, Bear Creek, North Carolina, 27207",NA,NA
"International Certification Services, Inc","Gray, Matthew","0417159",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"0417159, Bear Creek, North Carolina, 27207",-79.3847432,35.6168118
"Pennsylvania Certified Organic","Legina Emerson Dba Gary Emerson","699 Lee Emerson Rd",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"699 Lee Emerson Rd, Bear Creek, North Carolina, 27207",NA,NA
"Pennsylvania Certified Organic","Matthew Gray","1264 Bonlee School Rd",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1264 Bonlee School Rd, Bear Creek, North Carolina, 27207",-79.415547,35.625997
"Pennsylvania Certified Organic","Norton Farms","630 Reno Sharpes Store Rd",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"630 Reno Sharpes Store Rd, Bear Creek, North Carolina, 27207",-79.281946,35.616678
"International Certification Services, Inc","Norton, Scott dba Norton Farm","630 Reno Sharpe Store Rd",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"630 Reno Sharpe Store Rd, Bear Creek, North Carolina, 27207",NA,NA
"Pennsylvania Certified Organic","Rocky Acres","4081 McLaurin Rd",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"4081 McLaurin Rd, Bear Creek, North Carolina, 27207",-79.379219,35.65385
"International Certification Services, Inc","Wilson Poultry LLC","247 Wilson Farm Drive",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"247 Wilson Farm Drive, Bear Creek, North Carolina, 27207",NA,NA
"Pennsylvania Certified Organic","Wilson Poultry, LLC","247 Wilson Farms Drive",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"247 Wilson Farms Drive, Bear Creek, North Carolina, 27207",-79.472484,35.56649
"International Certification Services, Inc","Brown, Ruby dba Horsefly Farm","7163 Howeard Mill Road",NA,"Bennett","North Carolina","27208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"7163 Howeard Mill Road, Bennett, North Carolina, 27208",-79.559371,35.547151
"Pennsylvania Certified Organic","Bryson Farms","5562 Country Farm Road",NA,"Bennett","North Carolina","27208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"5562 Country Farm Road, Bennett, North Carolina, 27208",NA,NA
"International Certification Services, Inc","Bryson, Travis","5562 Country Farm Road",NA,"Bennett","North Carolina","27208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"5562 Country Farm Road, Bennett, North Carolina, 27208",NA,NA
"Pennsylvania Certified Organic","Deer Valley","1519 Winfred Brady Road",NA,"Bennett","North Carolina","27208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1519 Winfred Brady Road, Bennett, North Carolina, 27208",-79.4912381,35.532578
"International Certification Services, Inc","Estridge, Tommy dba Deer Valley Farm","1519 Winfred Brady Rd",NA,"Bennett","North Carolina","27208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1519 Winfred Brady Rd, Bennett, North Carolina, 27208",NA,NA
"Pennsylvania Certified Organic","Horsefly Farm","7163 Howard Mill Rd",NA,"Bennett","North Carolina","27208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"7163 Howard Mill Rd, Bennett, North Carolina, 27208",-79.559371,35.547151
"Quality Assurance International","Carolina Dairy LLC","116 Industrial Park Drive",NA,"Biscoe","North Carolina","27209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-07,NA,"116 Industrial Park Drive, Biscoe, North Carolina, 27209",-79.800914,35.362318
"International Certification Services, Inc","Brandon, Robert","1386 Bertha Wilson Rd",NA,"Blanch","North Carolina","27212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-10,NA,"1386 Bertha Wilson Rd, Blanch, North Carolina, 27212",-79.330753,36.507741
"International Certification Services, Inc","Daniel, Martin","1000 Long Mill Road",NA,"Blanch","North Carolina","27212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-17,NA,"1000 Long Mill Road, Blanch, North Carolina, 27212",-79.243233,36.4619766
"International Certification Services, Inc","Fowlkes, Ethan","2808 Hwy 62 N",NA,"Blanch","North Carolina","27212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-22,NA,"2808 Hwy 62 N, Blanch, North Carolina, 27212",NA,NA
"Pennsylvania Certified Organic","B&P Farms","67 Russell Webster Road",NA,"Bonlee","North Carolina","27213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"67 Russell Webster Road, Bonlee, North Carolina, 27213",-79.4128243,35.6554769
"Pennsylvania Certified Organic","Heritage Poultry","2627 Bonlee School Rd",NA,"Bear Creek","North Carolina","27207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2627 Bonlee School Rd, Bear Creek, North Carolina, 27207",NA,NA
"International Certification Services, Inc","Faucette, Michael Tyler","7566 Friendship Church Rd",NA,"Browns Summit","North Carolina","27214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-30,NA,"7566 Friendship Church Rd, Browns Summit, North Carolina, 27214",NA,NA
"International Certification Services, Inc","Faucette, Mike","7566 Friendship Church Road",NA,"Browns Summit","North Carolina","27214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-22,NA,"7566 Friendship Church Road, Browns Summit, North Carolina, 27214",NA,NA
"Baystate Organic Certifiers","Matthew Bowman","449 Plainfield Road",NA,"Greensboro","North Carolina","27455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-03,NA,"449 Plainfield Road, Greensboro, North Carolina, 27455",-79.818211,36.183227
"International Certification Services, Inc","Rick Cook","4430 High Rock Rd",NA,"Gibsonville","North Carolina","27249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-24,NA,"4430 High Rock Rd, Gibsonville, North Carolina, 27249",-79.60508,36.1852902
"International Certification Services, Inc","Troxler, Michael","7755 Ferrin Rd",NA,"Browns Summit","North Carolina","27214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-15,NA,"7755 Ferrin Rd, Browns Summit, North Carolina, 27214",NA,NA
"Quality Assurance International","Alamance Foods, Inc.","739 South Worth Street",NA,"Burlington","North Carolina","27215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-22,NA,"739 South Worth Street, Burlington, North Carolina, 27215",-79.4416438,36.092081
"International Certification Services, Inc","Lewis, Paige","1360 New Lebanon Church Rd",NA,"Reidsville","North Carolina","27230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-06,NA,"1360 New Lebanon Church Rd, Reidsville, North Carolina, 27230",-79.8438766,36.3346362
"International Certification Services, Inc","Page, Kent","137 Kent Rd",NA,"Reidsville","North Carolina","27230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-20,NA,"137 Kent Rd, Reidsville, North Carolina, 27230",-79.6368108,36.4319765
"CCOF Certification Services, LLC","The Wizard LLC Dba Macalat","5134 Boone Village Trail",NA,"Cedar Grove","North Carolina","27231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"5134 Boone Village Trail, Cedar Grove, North Carolina, 27231",NA,NA
"Pennsylvania Certified Organic","Austin Farms","2948 Providence Church Road",NA,"Climax","North Carolina","27233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2948 Providence Church Road, Climax, North Carolina, 27233",-79.7019986,35.8638821
"International Certification Services, Inc","Coley, Winston","Shelton County Rd",NA,"Liberty","North Carolina","27298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-25,NA,"Shelton County Rd, Liberty, North Carolina, 27298",NA,NA
"Baystate Organic Certifiers","Southern Farmers Seed Cooperative","8283 Swift Creek School Rd.",NA,"Whitakers, NC 27891","North Carolina","27891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-19,NA,"8283 Swift Creek School Rd., Whitakers, NC 27891, North Carolina, 27891",-77.80584,36.125451
"International Certification Services, Inc","Brown, Rodney","1864 Wicker Lovell Rd.",NA,"Randleman","North Carolina","27230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1864 Wicker Lovell Rd., Randleman, North Carolina, 27230",-79.7442709,35.7658934
"Pennsylvania Certified Organic","Darrell Wright Farms","3540 Wright Farm Lane",NA,"Franklinville","North Carolina","27248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"3540 Wright Farm Lane, Franklinville, North Carolina, 27248",-79.693698,35.715307
"Pennsylvania Certified Organic","Deep River Farm","422 Faith Rock Road",NA,"Franklinville","North Carolina","27248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"422 Faith Rock Road, Franklinville, North Carolina, 27248",-79.6900462,35.7355542
"International Certification Services, Inc","Funk, Derek dba Deep River Farm","422 Faith Rock Road",NA,"Franklinville","North Carolina","27248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"422 Faith Rock Road, Franklinville, North Carolina, 27248",-79.6900462,35.7355542
"Pennsylvania Certified Organic","Michael Walker Farm","3282 Jim Walker Rd",NA,"Franklinville","North Carolina","27248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"3282 Jim Walker Rd, Franklinville, North Carolina, 27248",-79.701101,35.800422
"Pennsylvania Certified Organic","Rodney Brown Farm","1864 Wicker Lovell Rd",NA,"Randleman","North Carolina","27317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1864 Wicker Lovell Rd, Randleman, North Carolina, 27317",NA,NA
"International Certification Services, Inc","Walker, Michael","3282 Jim Walker Road",NA,"Franklinville","North Carolina","27248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"3282 Jim Walker Road, Franklinville, North Carolina, 27248",-79.701101,35.800422
"International Certification Services, Inc","Wright, Darrell","3540 Wright Farm Lane",NA,"Franklinville","North Carolina","27248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"3540 Wright Farm Lane, Franklinville, North Carolina, 27248",-79.693698,35.715307
"International Certification Services, Inc","Lewis Brothers Farms","5769 Osceola-Ossipec Road",NA,"Brown Summit","North Carolina","27214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-28,NA,"5769 Osceola-Ossipec Road, Brown Summit, North Carolina, 27214",-79.5879721,36.2228014
"International Certification Services, Inc","Williamson, Charles","3501 Huffine Mill Rd",NA,"Gibsonville","North Carolina","27249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,NA,"3501 Huffine Mill Rd, Gibsonville, North Carolina, 27249",-79.6060883,36.1629601
"Pennsylvania Certified Organic","Black River Farm (B.W. Pope, Inc.)","495 Johnson Road",NA,"Coats","North Carolina","27251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"495 Johnson Road, Coats, North Carolina, 27251",-78.6366463,35.4332411
"Pennsylvania Certified Organic","Beal Family Farms","1162 Beal Road",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1162 Beal Road, Goldston, North Carolina, 27252",-79.3743182,35.5485394
"International Certification Services, Inc","Beal, Stephen R","1162 Beal Road",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1162 Beal Road, Goldston, North Carolina, 27252",-79.3743182,35.5485394
"International Certification Services, Inc","Gililand, Joseph B.","1010 Wilson Road",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"1010 Wilson Road, Goldston, North Carolina, 27252",-79.427656,35.5445203
"Pennsylvania Certified Organic","Hen-Mar Farm","642 Delphus Stinson Rd",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"642 Delphus Stinson Rd, Goldston, North Carolina, 27252",-79.418602,35.55298
"Pennsylvania Certified Organic","J Byrd Farm LLC","943 Wilson Rd",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"943 Wilson Rd, Goldston, North Carolina, 27252",-79.4271345,35.5445226
"Pennsylvania Certified Organic","JB Gilliland","1010 Wilson Rd",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"1010 Wilson Rd, Goldston, North Carolina, 27252",-79.427656,35.5445203
"International Certification Services, Inc","JByrd Farm","943 Wilson Road",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"943 Wilson Road, Goldston, North Carolina, 27252",-79.4271345,35.5445226
"International Certification Services, Inc","McNeil Farm","2261 NC 42 Hwy",NA,"Gold","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"2261 NC 42 Hwy, Gold, North Carolina, 27252",-79.3817449,35.5295125
"Pennsylvania Certified Organic","Mcneil Farm","2259 Hwy 42",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"2259 Hwy 42, Goldston, North Carolina, 27252",-79.381576,35.528403
"International Certification Services, Inc","Price Family Farm LLC","453 J Cook Road",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"453 J Cook Road, Goldston, North Carolina, 27252",NA,NA
"Pennsylvania Certified Organic","Price Family Farm LLC","453 J Cook Rd",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"453 J Cook Rd, Goldston, North Carolina, 27252",-79.3941821,35.577735
"Pennsylvania Certified Organic","Ronnie Scott","14105 Siler City Glendon Rd",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"14105 Siler City Glendon Rd, Goldston, North Carolina, 27252",-79.429976,35.5178889
"International Certification Services, Inc","Scott, Ronnie","14105 Siler City Glendon Rd.",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"14105 Siler City Glendon Rd., Goldston, North Carolina, 27252",-79.429976,35.5178889
"International Certification Services, Inc","Stinson, Henry","642 Delphus Stinson Road",NA,"Goldston","North Carolina","27252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-15,NA,"642 Delphus Stinson Road, Goldston, North Carolina, 27252",-79.418602,35.55298
